timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741249551580,1203,Choose flights/-23,400,Bad Request,Thread Group 1-1,text,false,,468,601,1,1,https://push.services.mozilla.com/,1201,0,1175
1741249552788,370,Choose flights/submit/firefox-desktop/events/1/13b530cb-31ce-4e37-90d0-bd4eccc3e4dd-24,200,OK,Thread Group 1-1,text,true,,893,4863,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/events/1/13b530cb-31ce-4e37-90d0-bd4eccc3e4dd,370,0,72
1741249553159,278,Choose flights/submit/firefox-desktop/metrics/1/a496f56f-00b4-4327-bf53-b1c7a7940d9b-25,200,OK,Thread Group 1-1,text,true,,923,27932,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/metrics/1/a496f56f-00b4-4327-bf53-b1c7a7940d9b,278,0,0
1741249553438,245,Launch Blazedemo/submit/firefox-desktop/newtab/1/0bcef598-401e-40e8-af16-4015b04038a1-26,200,OK,Thread Group 1-1,text,true,,761,1516,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/0bcef598-401e-40e8-af16-4015b04038a1,245,0,0
1741249553685,228,Launch Blazedemo/submit/firefox-desktop/baseline/1/5e02d39e-0fbf-4a6c-8e99-b5cac4083f7c-27,200,OK,Thread Group 1-1,text,true,,741,2381,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/5e02d39e-0fbf-4a6c-8e99-b5cac4083f7c,228,0,0
1741249553914,282,Launch Blazedemo/submit/firefox-desktop/usage-reporting/1/6158146f-975a-419b-a59f-60820442db77-28,200,OK,Thread Group 1-1,text,true,,934,902,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/usage-reporting/1/6158146f-975a-419b-a59f-60820442db77,282,0,0
1741249554197,253,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/8ec44f42-4986-4b49-9969-60c31ff325ef-29,200,OK,Thread Group 1-1,text,true,,938,2238,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/8ec44f42-4986-4b49-9969-60c31ff325ef,253,0,0
1741249554452,237,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/0c2cc820-3711-4973-8f9d-43691e962504-30,200,OK,Thread Group 1-1,text,true,,783,2287,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/0c2cc820-3711-4973-8f9d-43691e962504,237,0,0
1741249554690,254,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/7aa40df8-69c7-4c96-8005-1fdb0c5e4fb0-31,200,OK,Thread Group 1-1,text,true,,915,2265,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/7aa40df8-69c7-4c96-8005-1fdb0c5e4fb0,254,0,0
1741249554945,283,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/1595d4bc-d1a4-422a-9518-4b77620fb546-32,200,OK,Thread Group 1-1,text,true,,750,2472,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/1595d4bc-d1a4-422a-9518-4b77620fb546,283,0,0
1741249555228,275,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/8fdab717-0bfd-4852-8502-7835597c2dd2-33,200,OK,Thread Group 1-1,text,true,,773,2514,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/8fdab717-0bfd-4852-8502-7835597c2dd2,275,0,0
1741249555504,246,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/cc8015cb-0d7b-434f-8b00-2f009c0b563f-34,200,OK,Thread Group 1-1,text,true,,912,2275,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/cc8015cb-0d7b-434f-8b00-2f009c0b563f,245,0,0
1741249555751,252,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/15e36c3a-6295-4188-9d94-d0f47212bf6e-35,200,OK,Thread Group 1-1,text,true,,805,2403,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/15e36c3a-6295-4188-9d94-d0f47212bf6e,252,0,0
1741249556003,269,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/aefff963-9262-45b7-8ba3-e4d2bfba0c57-36,200,OK,Thread Group 1-1,text,true,,837,2277,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/aefff963-9262-45b7-8ba3-e4d2bfba0c57,269,0,0
1741249556275,240,Launch Blazedemo/complete/search-37,200,OK,Thread Group 1-1,text,true,,5361,291,2,2,https://www.google.com/complete/search?client=firefox&channel=ftr&q=,239,0,132
1741249556447,92,Choose flights/-23,400,Bad Request,Thread Group 1-2,text,false,,468,601,2,2,https://push.services.mozilla.com/,92,0,72
1741249556542,331,Choose flights/submit/firefox-desktop/events/1/13b530cb-31ce-4e37-90d0-bd4eccc3e4dd-24,200,OK,Thread Group 1-2,text,true,,710,4863,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/events/1/13b530cb-31ce-4e37-90d0-bd4eccc3e4dd,331,0,74
1741249556516,531,Launch Blazedemo/-38,200,OK,Thread Group 1-1,text,true,,2205,447,2,2,https://blazedemo.com/,527,0,159
1741249556873,357,Choose flights/submit/firefox-desktop/metrics/1/a496f56f-00b4-4327-bf53-b1c7a7940d9b-25,200,OK,Thread Group 1-2,text,true,,820,27932,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/metrics/1/a496f56f-00b4-4327-bf53-b1c7a7940d9b,357,0,0
1741249557231,262,Launch Blazedemo/submit/firefox-desktop/newtab/1/0bcef598-401e-40e8-af16-4015b04038a1-26,200,OK,Thread Group 1-2,text,true,,782,1516,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/0bcef598-401e-40e8-af16-4015b04038a1,262,0,0
1741249557493,307,Launch Blazedemo/submit/firefox-desktop/baseline/1/5e02d39e-0fbf-4a6c-8e99-b5cac4083f7c-27,200,OK,Thread Group 1-2,text,true,,872,2381,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/5e02d39e-0fbf-4a6c-8e99-b5cac4083f7c,307,0,0
1741249557050,791,Launch Blazedemo/v1/3.0/projects/lXviifSA1NskA4wsG9N6WoWg/events/pageviews?api_key=8RWMCGFX4X0IRY1GHWDM3HM5WDSJF9LP62BSDULOL3XK7WAIFGDB7EU526O1A0UPLH1S8SJP320LUXJKCHLJX1822GU1KFE80CNW6PXVZ83IOO6LJ731EN164IFVUFMC8DOGYP2MXHN47WGVB192F2PTQRQXCF95OJWAKGOH9S69DZAI5OPJW8QSPDE6LQQ9-39,204,No Content,Thread Group 1-1,text,true,,605,2700,2,2,https://blazemeter.datapipe.prodperfect.com/v1/3.0/projects/lXviifSA1NskA4wsG9N6WoWg/events/pageviews?api_key=8RWMCGFX4X0IRY1GHWDM3HM5WDSJF9LP62BSDULOL3XK7WAIFGDB7EU526O1A0UPLH1S8SJP320LUXJKCHLJX1822GU1KFE80CNW6PXVZ83IOO6LJ731EN164IFVUFMC8DOGYP2MXHN47WGVB192F2PTQRQXCF95OJWAKGOH9S69DZAI5OPJW8QSPDE6LQQ9,0,0,123
1741249557802,247,Launch Blazedemo/submit/firefox-desktop/usage-reporting/1/6158146f-975a-419b-a59f-60820442db77-28,200,OK,Thread Group 1-2,text,true,,920,902,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/usage-reporting/1/6158146f-975a-419b-a59f-60820442db77,247,0,0
1741249558049,261,Launch Blazedemo/submit/firefox-desktop/messaging-system/1/8ec44f42-4986-4b49-9969-60c31ff325ef-29,200,OK,Thread Group 1-2,text,true,,758,2238,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/8ec44f42-4986-4b49-9969-60c31ff325ef,260,0,0
1741249557842,670,Find flights/v1/3.0/projects/lXviifSA1NskA4wsG9N6WoWg/events/clicks?api_key=8RWMCGFX4X0IRY1GHWDM3HM5WDSJF9LP62BSDULOL3XK7WAIFGDB7EU526O1A0UPLH1S8SJP320LUXJKCHLJX1822GU1KFE80CNW6PXVZ83IOO6LJ731EN164IFVUFMC8DOGYP2MXHN47WGVB192F2PTQRQXCF95OJWAKGOH9S69DZAI5OPJW8QSPDE6LQQ9-40,204,No Content,Thread Group 1-1,text,true,,605,4040,2,2,https://blazemeter.datapipe.prodperfect.com/v1/3.0/projects/lXviifSA1NskA4wsG9N6WoWg/events/clicks?api_key=8RWMCGFX4X0IRY1GHWDM3HM5WDSJF9LP62BSDULOL3XK7WAIFGDB7EU526O1A0UPLH1S8SJP320LUXJKCHLJX1822GU1KFE80CNW6PXVZ83IOO6LJ731EN164IFVUFMC8DOGYP2MXHN47WGVB192F2PTQRQXCF95OJWAKGOH9S69DZAI5OPJW8QSPDE6LQQ9,0,0,0
